노선번호,노선,정류장순서,정류장,정류장명,경도,위도,데이터기준일
1,250000100,1,265000793,상공회의소,127.75267,37.89832,2025-02-12
1,250000100,2,250026779,장학해온채A,127.75391,37.89731,2025-02-12
1,250000100,3,250026778,장학교차로,127.75555,37.89383,2025-02-12
1,250000100,4,250026830,장학부영A,127.75278,37.89642,2025-02-12
1,250000100,5,250001211,후평동종점,127.74865,37.89326,2025-02-12
1,250000100,6,250001377,춘천기계공고,127.74898,37.89114,2025-02-12
1,250000100,7,250001873,정부합동청사,127.74931,37.88887,2025-02-12
1,250000100,8,250001505,동광오거리,127.74955,37.88523,2025-02-12
1,250000100,9,250001277,한국전력공사입구,127.74871,37.88346,2025-02-12
1,250000100,10,250001295,포스코더샵A,127.7486,37.8815,2025-02-12
1,250000100,11,250001786,충인교회,127.75001,37.87954,2025-02-12
1,250000100,12,250001853,일성트루엘A,127.74822,37.87735,2025-02-12
1,250000100,13,250002238,푸른언덕공원,127.74556,37.87622,2025-02-12
1,250000100,14,250001750,강원대학병원,127.74295,37.87474,2025-02-12
1,250000100,15,250001678,춘천청소년수련관,127.74109,37.87438,2025-02-12
1,250000100,16,250001230,중부지구대,127.73797,37.87579,2025-02-12
1,250000100,17,250001545,동부시장,127.73429,37.87658,2025-02-12
1,250000100,18,250001914,육림고개,127.7308,37.87719,2025-02-12
1,250000100,19,250002077,시청입구,127.72874,37.87957,2025-02-12
1,250000100,20,250002029,명동입구,127.7267,37.87969,2025-02-12
1,250000100,21,250001848,중앙시장/중앙초교,127.72505,37.87834,2025-02-12
1,250000100,22,250001202,중앙로입구,127.72307,37.87703,2025-02-12
1,250000100,23,250001349,춘천시보건소,127.72076,37.87617,2025-02-12
1,250000100,24,250001353,춘천중학교,127.7177,37.87521,2025-02-12
1,250000100,25,250001350,엘타워/미소지움,127.71702,37.87405,2025-02-12
1,250000100,26,250001986,미소지움/방송대,127.72015,37.87331,2025-02-12
1,250000100,27,250002027,약사롯데캐슬,127.72313,37.8721,2025-02-12
1,250000100,28,250001626,남부시장,127.726,37.87062,2025-02-12
1,250000100,29,250026603,수협,127.72789,37.86971,2025-02-12
1,250000100,30,250002023,양우A,127.7305,37.86833,2025-02-12
1,250000100,31,250002239,춘천지방법원,127.73416,37.86611,2025-02-12
1,250000100,32,250001751,춘천사회혁신센터,127.7363,37.86417,2025-02-12
1,250000100,33,250002136,석사A,127.73912,37.86279,2025-02-12
1,250000100,34,250002148,석사4거리,127.74329,37.86117,2025-02-12
1,250000100,35,250002147,석사교회,127.7446,37.85989,2025-02-12
1,250000100,36,250001386,교육대학교,127.7471,37.85718,2025-02-12
1,250000100,37,250002016,여성가족연구원,127.74868,37.85579,2025-02-12
1,250000100,38,250002138,석사삼익A,127.75114,37.8531,2025-02-12
1,250000100,39,250002145,석사극동A,127.75271,37.85105,2025-02-12
1,250000100,40,250001273,장애인종합복지관,127.75585,37.84689,2025-02-12
1,250000100,41,250001354,학곡2리,127.7588,37.83985,2025-02-12
1,250000100,42,250001282,학곡리종점,127.76038,37.83495,2025-02-12
1,250000100,43,250001167,원창고개입구,127.76313,37.83234,2025-02-12
1,250000100,44,250027094,춘천자원,127.76397,37.8279,2025-02-12
1,250000100,45,265000751,사암4리,127.76395,37.82383,2025-02-12
1,250000100,46,250026776,학곡리,127.76328,37.82284,2025-02-12
1,250000100,47,265000745,화물공영차고지,127.76246,37.822,2025-02-12
1,250000100,48,265000744,화물공영차고지,127.76282,37.82181,2025-02-12
1,250000100,49,250027084,학곡리,127.76339,37.82274,2025-02-12
1,250000100,50,250026772,사암4리,127.76413,37.82384,2025-02-12
1,250000100,51,250027095,춘천자원,127.76405,37.82823,2025-02-12
1,250000100,52,250001166,학곡리,127.76325,37.83245,2025-02-12
1,250000100,53,250001283,학곡리종점,127.7606,37.8351,2025-02-12
1,250000100,54,250001355,학곡2리,127.75905,37.84005,2025-02-12
1,250000100,55,250001274,장애인종합복지관,127.7554,37.84753,2025-02-12
1,250000100,56,250002146,석사극동A,127.75288,37.85121,2025-02-12
1,250000100,57,250002139,초록지붕A,127.75133,37.85329,2025-02-12
1,250000100,58,250001527,로데오거리,127.75067,37.85426,2025-02-12
1,250000100,59,250002015,여성가족연구원,127.74857,37.85616,2025-02-12
1,250000100,60,250001385,교육대학교,127.74647,37.85821,2025-02-12
1,250000100,61,250002140,석사사거리,127.74514,37.85961,2025-02-12
1,250000100,62,250001546,동보A,127.74218,37.86186,2025-02-12
1,250000100,63,250002137,석사A,127.73935,37.86293,2025-02-12
1,250000100,64,250001752,병무청앞,127.73517,37.86553,2025-02-12
1,250000100,65,250002024,양우A,127.73157,37.86795,2025-02-12
1,250000100,66,250001276,한국토지주택공사,127.72924,37.86929,2025-02-12
1,250000100,67,250001627,남부시장,127.72754,37.87013,2025-02-12
1,250000100,68,250002028,남부사거리,127.7246,37.87154,2025-02-12
1,250000100,69,250001987,모아엘가A,127.72193,37.87293,2025-02-12
1,250000100,70,250001351,춘천중학교정문,127.71805,37.874,2025-02-12
1,250000100,71,250001352,춘천중학교,127.71718,37.87484,2025-02-12
1,250000100,72,250001348,춘천초등학교,127.72098,37.87602,2025-02-12
1,250000100,73,250001847,중앙로입구,127.72415,37.87736,2025-02-12
1,250000100,74,250001498,명동입구,127.72629,37.87906,2025-02-12
1,250000100,75,250002076,M백화점,127.72915,37.87876,2025-02-12
1,250000100,76,250001913,육림고개,127.73047,37.87724,2025-02-12
1,250000100,77,250001544,동부시장,127.73348,37.8763,2025-02-12
1,250000100,78,250001229,중부지구대,127.73851,37.87533,2025-02-12
1,250000100,79,250001677,춘천청소년수련관,127.74071,37.87433,2025-02-12
1,250000100,80,250001749,강원대학병원,127.74331,37.87484,2025-02-12
1,250000100,81,250002237,푸른언덕공원,127.7463,37.87627,2025-02-12
1,250000100,82,250001205,후평중학교,127.74843,37.87723,2025-02-12
1,250000100,83,250001785,신한은행후평동지점,127.75049,37.87928,2025-02-12
1,250000100,84,250001292,포스코더샵A,127.74948,37.88067,2025-02-12
1,250000100,85,250001278,한국전력공사입구,127.74899,37.88349,2025-02-12
1,250000100,86,250001506,동광오거리,127.74958,37.8847,2025-02-12
1,250000100,87,250001874,정부합동청사,127.74964,37.88843,2025-02-12
1,250000100,88,250001378,기계공고,127.74911,37.89186,2025-02-12
1,250000100,89,250001212,후평동종점,127.74889,37.89333,2025-02-12
1,250000100,90,265000805,장학LH정문,127.75076,37.89657,2025-02-12
1,250000100,91,250026831,장학LH1단지,127.75261,37.89635,2025-02-12
1,250000100,92,250026917,강원고앞,127.75523,37.89519,2025-02-12
1,250000100,93,265000792,상공회의소,127.75267,37.89849,2025-02-12
2,250000200,1,265000793,상공회의소,127.75267,37.89832,2025-02-12
2,250000200,2,250026779,장학해온채A,127.75391,37.89731,2025-02-12
2,250000200,3,250026778,장학교차로,127.75555,37.89383,2025-02-12
2,250000200,4,250001754,강동농협장학지점,127.75321,37.89175,2025-02-12
2,250000200,5,250026617,공단입구,127.74988,37.89102,2025-02-12
2,250000200,6,250001563,도민일보,127.74479,37.89053,2025-02-12
2,250000200,7,250001540,동산A,127.74217,37.88919,2025-02-12
2,250000200,8,250002229,봉의A,127.74494,37.88674,2025-02-12
2,250000200,9,250002124,세경3차,127.74411,37.88482,2025-02-12
2,250000200,10,250001547,동보빌리지,127.74114,37.8838,2025-02-12
2,250000200,11,250002127,한림대학교,127.7384,37.88355,2025-02-12
2,250000200,12,250001262,향교,127.73466,37.8815,2025-02-12
2,250000200,13,250001358,춘천시청별관,127.73269,37.88171,2025-02-12
2,250000200,14,250026768,e편한세상,127.7266,37.8841,2025-02-12
2,250000200,15,250001372,춘천농협,127.7234,37.88444,2025-02-12
2,250000200,16,250001886,소양로우체국,127.72624,37.88105,2025-02-12
2,250000200,17,250002029,명동입구,127.7267,37.87969,2025-02-12
2,250000200,18,250001848,중앙시장/중앙초교,127.72505,37.87834,2025-02-12
2,250000200,19,250001202,중앙로입구,127.72307,37.87703,2025-02-12
2,250000200,20,250001349,춘천시보건소,127.72076,37.87617,2025-02-12
2,250000200,21,250001353,춘천중학교,127.7177,37.87521,2025-02-12
2,250000200,22,250001350,엘타워/미소지움,127.71702,37.87405,2025-02-12
2,250000200,23,250001986,미소지움/방송대,127.72015,37.87331,2025-02-12
2,250000200,24,265000677,온의롯데캐슬,127.71853,37.8693,2025-02-12
2,250000200,25,250001989,온의금호1차,127.71586,37.86871,2025-02-12
2,250000200,26,250001985,럭키A,127.71825,37.86652,2025-02-12
2,250000200,27,250002081,시외버스터미널,127.71988,37.86418,2025-02-12
2,250000200,28,250001903,은행나무공원,127.72013,37.8617,2025-02-12
2,250000200,29,250001621,남춘천중학교,127.72144,37.86056,2025-02-12
2,250000200,30,250001307,한진한성,127.72324,37.85942,2025-02-12
2,250000200,31,250001306,퇴계현대1차,127.72646,37.85789,2025-02-12
2,250000200,32,250001326,퇴계동입구,127.72772,37.85927,2025-02-12
