정류장 번호,관리번호,정류장명,정류장명(영어),경도,위도,데이터기준일
1001,250001192,대형약국,Daehyeong Pharmacy,127.7751 ,37.8760 ,2025-02-12
1002,250001193,산림조합강원본부,National Forestry Cooperative Federation Gangwon,127.7536 ,37.8872 ,2025-02-12
1003,250001194,산림조합강원본부,National Forestry Cooperative Federation Gangwon,127.7533 ,37.8869 ,2025-02-12
1004,250001195,발산3리,Balsan 3(sam)-ri,127.7458 ,37.9591 ,2025-02-12
1005,250001196,금광터,Geumgwangteo Village,127.7464 ,37.9533 ,2025-02-12
1006,250001197,운전면허시험장,Driver’s License Examination Office,127.7508 ,37.9475 ,2025-02-12
1007,250001198,소양강댐주차장,Soyanggang Dam Parking Lot,127.8019 ,37.9380 ,2025-02-12
1008,250001199,폴리텍2캠퍼스,Korea Polytechnics 2nd Campus,127.7396 ,37.9121 ,2025-02-12
1009,250001200,월곡리,Wolgok-ri,127.7983 ,37.9174 ,2025-02-12
1010,250001201,감정리,Gamjeong-ri,127.7867 ,37.9038 ,2025-02-12
1011,250001202,중앙로입구,Jungang-ro Entrance,127.7231 ,37.8770 ,2025-02-12
1012,250001203,후평3동우체국,Hupyeong 3(sam)-dong Post Office,127.7528 ,37.8723 ,2025-02-12
1013,250001204,부안주유소,Buan Gas Station,127.7525 ,37.8725 ,2025-02-12
1014,250001205,후평중학교,Hupyeong Middle School,127.7484 ,37.8772 ,2025-02-12
1015,250001206,후평주공7단지,Hupyeong Jugong 7(chil)-danji,127.7511 ,37.8755 ,2025-02-12
1016,250001207,후평주공7단지,Hupyeong Jugong 7(chil)-danji,127.7512 ,37.8758 ,2025-02-12
1017,250001208,후평주공6단지,Hupyeong Jugong 6(yuk)-danji,127.7489 ,37.8743 ,2025-02-12
1018,250001209,후평주공6단지,Hupyeong Jugong 6(yuk)-danji,127.7484 ,37.8742 ,2025-02-12
1019,250001210,후평주공5단지,Hupyeong Jugong 5(o)-danji,127.7469 ,37.8735 ,2025-02-12
1020,250001211,후평동종점,Hupyeong-dong Terminus,127.7487 ,37.8933 ,2025-02-12
1021,250001212,후평동종점,Hupyeong-dong Terminus,127.7489 ,37.8933 ,2025-02-12
1022,250001213,후평주공4단지후문,Hupyeong Jugong 4(sa)-danji Rear Entrance,127.7576 ,37.8749 ,2025-02-12
1023,250001214,후평주공4단지후문,Hupyeong Jugong 4(sa)-danji Rear Entrance,127.7579 ,37.8750 ,2025-02-12
